apoptotic process,GO:0006915
regulation of DNA-binding transcription factor activity,GO:0051090
regulation of early endosome to late endosome transport,GO:2000641
regulation of Golgi inheritance,GO:0090170
regulation of ossification,GO:0030278
regulation of stress-activated MAPK cascade,GO:0032872
response to epidermal growth factor,GO:0070849
response to exogenous dsRNA,GO:0043330
Schwann cell development,GO:0014044
sensory perception of pain,GO:0019233
stress-activated MAPK cascade,GO:0051403
thymus development,GO:0048538
thyroid gland development,GO:0030878
trachea formation,GO:0060440
xenophagy,GO:0098792
epithelial cell proliferation involved in lung morphogenesis,GO:0060502
positive regulation of axonogenesis,GO:0050772
positive regulation of cell motility,GO:2000147
regulation of axon regeneration,GO:0048679
cell migration in hindbrain,GO:0021535
cerebellum development,GO:0021549
positive regulation of stress-activated MAPK cascade,GO:0032874
cerebral cortex development,GO:0021987
commitment of neuronal cell to specific neuron type in forebrain,GO:0021902
conditioned taste aversion,GO:0001661
hindbrain development,GO:0030902
negative regulation of DNA-templated transcription,GO:0045892
neuron differentiation,GO:0030182
regulation of axon guidance,GO:1902667
specification of animal organ identity,GO:0010092
B cell apoptotic process,GO:0001783
cellular response to starvation,GO:0009267
immature B cell differentiation,GO:0002327
negative regulation of lysosome organization,GO:1905672
negative regulation of TOR signaling,GO:0032007
positive regulation of B cell apoptotic process,GO:0002904
positive regulation of protein-containing complex assembly,GO:0031334
positive regulation of TOR signaling,GO:0032008
regulation of pro-B cell differentiation,GO:2000973
neuron fate commitment,GO:0048663
"DNA replication, synthesis of primer",GO:0006269
DNA-templated DNA replication,GO:0006261
negative regulation of double-strand break repair via homologous recombination,GO:2000042
regulation of DNA double-strand break processing,GO:1903775
negative regulation of protein localization to plasma membrane,GO:1903077
B cell proliferation,GO:0042100
blood vessel development,GO:0001568
blood vessel morphogenesis,GO:0048514
hematopoietic stem cell proliferation,GO:0071425
negative regulation of oocyte maturation,GO:1900194
positive regulation of T-helper cell differentiation,GO:0045624
T cell receptor signaling pathway,GO:0050852
chromosomal 5-methylcytosine DNA demethylation pathway,GO:0141166
CRD-mediated mRNA stabilization,GO:0070934
mRNA modification,GO:0016556
"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:1900152
"negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:2000623
positive regulation of cytoplasmic translation,GO:2000767
RNA splicing,GO:0008380
3'-UTR-mediated mRNA destabilization,GO:0061158
cellular response to amino acid stimulus,GO:0071230
long-term memory,GO:0007616
negative regulation of cytoplasmic translational elongation,GO:1900248
negative regulation of translation,GO:0017148
positive regulation of long-term synaptic potentiation,GO:1900273
"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:1900153
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060213
positive regulation of translation,GO:0045727
regulation of dendritic spine development,GO:0060998
thermoception,GO:0050955
translation,GO:0006412
intracellular protein transmembrane transport,GO:0065002
positive regulation of D-glucose transmembrane transport,GO:0010828
positive regulation of protein targeting to membrane,GO:0090314
positive regulation of vesicle fusion,GO:0031340
vesicle fusion,GO:0006906
blood coagulation,GO:0007596
embryonic digit morphogenesis,GO:0042733
embryonic forelimb morphogenesis,GO:0035115
endoplasmic reticulum tubular network maintenance,GO:0071788
positive regulation of endoplasmic reticulum tubular network organization,GO:1903373
regulation of chondrocyte differentiation,GO:0032330
postsynaptic specialization organization,GO:0099084
regulation of signal transduction,GO:0009966
negative regulation of receptor internalization,GO:0002091
regulation of postsynaptic density assembly,GO:0099151
synapse organization,GO:0050808
endocytic recycling,GO:0032456
plasma membrane tubulation,GO:0097320
positive regulation of endocytic recycling,GO:2001137
positive regulation of myoblast fusion,GO:1901741
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184
phosphatidylinositol phosphate biosynthetic process,GO:0046854
regulation of telomere maintenance,GO:0032204
double-strand break repair via homologous recombination,GO:0000724
sensory perception of smell,GO:0007608
glomerulus morphogenesis,GO:0072102
hippocampus development,GO:0021766
inter-male aggressive behavior,GO:0002121
principal sensory nucleus of trigeminal nerve development,GO:0021740
negative regulation of BMP signaling pathway,GO:0030514
monoatomic ion transport,GO:0006811
transmembrane transport,GO:0055085
regulation of intracellular protein transport,GO:0033157
regulation of SNARE complex assembly,GO:0035542
lncRNA transcription,GO:0140742
nuclear body organization,GO:0030575
"positive regulation of mRNA splicing, via spliceosome",GO:0048026
"regulation of alternative mRNA splicing, via spliceosome",GO:0000381
formation of cytoplasmic translation initiation complex,GO:0001732
IRES-dependent viral translational initiation,GO:0075522
translational initiation,GO:0006413
viral translational termination-reinitiation,GO:0075525
blastocyst growth,GO:0001832
chromosome organization,GO:0051276
intestinal epithelial structure maintenance,GO:0060729
mitotic cell cycle,GO:0000278
mitotic DNA damage checkpoint signaling,GO:0044773
mitotic DNA replication checkpoint signaling,GO:0033314
negative regulation of apoptotic process,GO:0043066
nuclear DNA replication,GO:0033260
ovarian follicle development,GO:0001541
preantral ovarian follicle growth,GO:0001546
RNA processing,GO:0006396
cellular response to steroid hormone stimulus,GO:0071383
establishment or maintenance of transmembrane electrochemical gradient,GO:0010248
heart contraction,GO:0060047
intracellular potassium ion homeostasis,GO:0030007
intracellular sodium ion homeostasis,GO:0006883
membrane repolarization,GO:0086009
negative regulation of glucocorticoid biosynthetic process,GO:0031947
negative regulation of heart contraction,GO:0045822
osmosensory signaling pathway,GO:0007231
positive regulation of heart contraction,GO:0045823
positive regulation of striated muscle contraction,GO:0045989
potassium ion import across plasma membrane,GO:1990573
regulation of sodium ion transport,GO:0002028
regulation of the force of heart contraction,GO:0002026
sodium ion export across plasma membrane,GO:0036376
sodium ion homeostasis,GO:0055078
establishment of mitochondrion localization,GO:0051654
negative regulation of epithelial to mesenchymal transition,GO:0010719
regulation of dendrite development,GO:0050773
mRNA splice site recognition,GO:0006376
negative regulation of RNA splicing,GO:0033119
regulation of neural precursor cell proliferation,GO:2000177
spinal cord development,GO:0021510
lactation,GO:0007595
negative regulation of Notch signaling pathway,GO:0045746
Notch signaling pathway,GO:0007219
positive regulation of long-term neuronal synaptic plasticity,GO:0048170
positive regulation of synapse maturation,GO:0090129
protein monoubiquitination,GO:0006513
skeletal muscle tissue development,GO:0007519
sperm axoneme assembly,GO:0007288
mRNA transport,GO:0051028
regulation of translation,GO:0006417
cellular response to nutrient levels,GO:0031669
cholesterol homeostasis,GO:0042632
endosomal transport,GO:0016197
endosome organization,GO:0007032
lysosome localization,GO:0032418
lysosome organization,GO:0007040
positive regulation of protein localization to lysosome,GO:0150032
protein localization to membrane,GO:0072657
regulation of cell growth,GO:0001558
regulation of cholesterol efflux,GO:0010874
regulation of cholesterol import,GO:0060620
regulation of receptor recycling,GO:0001919
TORC1 signaling,GO:0038202
post-Golgi vesicle-mediated transport,GO:0006892
biomineral tissue development,GO:0031214
extracellular matrix organization,GO:0030198
negative regulation of protein-containing complex assembly,GO:0031333
spliceosomal complex disassembly,GO:0000390
cellular response to leukemia inhibitory factor,GO:1990830
mitophagy,GO:0000423
protein localization to phagophore assembly site,GO:0034497
miRNA-mediated gene silencing by inhibition of translation,GO:0035278
negative regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA,GO:0106289
P-body assembly,GO:0033962
protein import into nucleus,GO:0006606
stem cell population maintenance,GO:0019827
RNA stabilization,GO:0043489
snRNA export from nucleus,GO:0006408
eye development,GO:0001654
actin filament organization,GO:0007015
cell communication by chemical coupling,GO:0010643
cell communication by electrical coupling,GO:0010644
generation of neurons,GO:0048699
neural precursor cell proliferation,GO:0061351
positive regulation of dendritic spine morphogenesis,GO:0061003
positive regulation of receptor localization to synapse,GO:1902685
positive regulation of synaptic plasticity,GO:0031915
D-serine biosynthetic process,GO:0070179
L-serine metabolic process,GO:0006563
pyruvate biosynthetic process,GO:0042866
drinking behavior,GO:0042756
anoikis,GO:0043276
cellular response to UV-B,GO:0071493
epithelial cell proliferation involved in prostate gland development,GO:0060767
G1 to G0 transition,GO:0070314
Golgi localization,GO:0051645
intrinsic apoptotic signaling pathway by p53 class mediator,GO:0072332
negative regulation of canonical Wnt signaling pathway,GO:0090090
negative regulation of cell growth,GO:0030308
negative regulation of cold-induced thermogenesis,GO:0120163
negative regulation of epithelial cell proliferation involved in prostate gland development,GO:0060770
negative regulation of lipid biosynthetic process,GO:0051055
positive regulation of transforming growth factor beta receptor signaling pathway,GO:0030511
positive regulation of vesicle transport along microtubule,GO:1901610
positive thymic T cell selection,GO:0045059
protein autophosphorylation,GO:0046777
protein dephosphorylation,GO:0006470
protein localization to nucleus,GO:0034504
regulation of dendrite morphogenesis,GO:0048814
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0051896
regulation of Wnt signaling pathway,GO:0030111
response to ionizing radiation,GO:0010212
TCR signalosome assembly,GO:0036399
vasculature development,GO:0001944
protein homooligomerization,GO:0051260
cell-cell signaling,GO:0007267
neuron apoptotic process,GO:0051402
cell-cell junction maintenance,GO:0045217
centrosome cycle,GO:0007098
establishment or maintenance of epithelial cell apical/basal polarity,GO:0045197
positive regulation of protein localization to centrosome,GO:1904781
positive regulation of protein secretion,GO:0050714
carbohydrate metabolic process,GO:0005975
cellular detoxification,GO:1990748
